#FamilyID	Bimp<0>	Bter<1>	Amel<2>	Aflo<3>	<4>	Mqua<5>	<6>	<7>	<8>	Emex<9>	<10>	Hlab<11>	Lalb<12>	Dnov<13>	<14>	Ccal<15>	Mrot<16>	<17>	<18>	<19>	<20>	
ORTHOMCL314	0.535721	0.535721	0.517477	0.518477	0.592018	0.633994	0.09576	0.542746	0.521167	0.19678	0.532146	0.172479	0.0897689	0.658172	0.51671	0.0355369	0.632234	0.032448	0.512612	0.512612	N/A
ORTHOMCL318	0.567661	8.32039e-05	0.517477	0.518477	6.59164e-05	0.575269	0.533579	0.5221	0.510757	0.0378839	0.516478	0.563277	0.633477	0.56386	0.508462	0.000983555	0.574148	0.531952	0.506367	0.506367	N/A
ORTHOMCL319	0.552135	0.0277783	0.517477	0.518477	0.00129403	0.575269	0.533579	0.5221	0.510757	1.67686e-05	0.516478	0.563277	0.633477	0.56386	0.508462	0.000123896	0.574148	0.531952	0.506367	0.506367	N/A
ORTHOMCL328	0.00197957	0.552135	0.517477	0.518477	0.0508264	0.201444	0.09576	0.542746	0.521167	0.0758638	0.532146	0.172479	0.633477	0.56386	0.51671	0.00322904	0.632234	0.0913443	0.512612	0.512612	N/A
ORTHOMCL331	0.567661	0.567661	0.517477	0.518477	6.59164e-05	0.575269	0.533579	0.5221	0.510757	0.573306	0.516478	0.563277	0.633477	0.56386	0.508462	0.000983555	1.75825e-05	0.531952	0.506367	0.506367	N/A
ORTHOMCL338	0.552135	0.552135	0.517477	0.518477	0.0508264	0.201444	0.09576	0.542746	0.521167	0.0758638	0.532146	0.000504122	0.633477	0.56386	0.51671	0.696081	0.632234	0.0913443	0.512612	0.512612	N/A
ORTHOMCL358	0.567661	0.567661	0.0510712	0.535936	0.00621721	0.201444	0.563814	0.542746	0.521167	0.630909	0.532146	0.172479	0.633477	0.56386	0.51671	0.295932	0.000809543	0.0913443	0.512612	0.512612	N/A
ORTHOMCL365	0.535721	0.535721	0.0510712	0.0186446	0.592018	0.201444	0.563814	0.542746	0.521167	0.0758638	0.532146	0.172479	0.633477	0.56386	0.51671	0.00322904	0.0767634	0.0913443	0.512612	0.512612	N/A
ORTHOMCL368	0.0535878	0.0185289	0.0510712	0.535936	0.592018	0.0779636	0.563814	0.542746	0.521167	0.630909	0.532146	0.0651893	0.142004	0.615759	0.51671	0.696081	0.198783	0.560874	0.512612	0.512612	N/A
ORTHOMCL382	0.552135	0.0277783	0.517477	0.000173865	0.00129403	0.575269	0.533579	0.5221	0.510757	0.573306	0.516478	0.563277	0.633477	0.56386	0.508462	0.618034	1.35599e-06	0.531952	0.506367	0.506367	N/A
ORTHOMCL387	0.582354	0.582354	0.517477	0.518477	0.000243895	0.201444	0.09576	0.542746	0.521167	0.19678	0.532146	0.0651893	0.326893	0.615759	0.51671	0.295932	0.632234	0.560874	0.512612	0.512612	N/A
ORTHOMCL406	0.535721	0.0185289	0.534044	0.0539103	0.592018	0.201444	0.563814	0.542746	0.521167	0.0136108	0.532146	0.0101248	0.716159	0.173912	0.51671	0.696081	0.198783	0.560874	0.512612	0.512612	N/A
ORTHOMCL427	0.0369985	0.567661	0.0510712	0.0186446	0.00621721	0.201444	0.563814	0.542746	0.521167	0.19678	0.532146	0.172479	0.633477	0.56386	0.51671	0.696081	0.632234	0.0913443	0.512612	0.512612	N/A
ORTHOMCL435	0.0277783	0.552135	0.0510712	0.535936	0.0508264	0.201444	0.563814	0.542746	0.521167	0.630909	0.532146	0.0651893	0.633477	0.56386	0.51671	0.295932	0.0767634	0.0913443	0.512612	0.512612	N/A
ORTHOMCL438	0.535721	0.0535878	0.0510712	0.0186446	0.592018	0.201444	0.563814	0.542746	0.521167	0.19678	0.532146	0.614808	0.326893	0.010313	0.51671	0.696081	0.0139269	0.560874	0.512612	0.512612	N/A
ORTHOMCL445	0.535721	0.000846016	0.517477	0.518477	0.0254034	0.575269	0.533579	0.5221	0.510757	0.573306	0.0482242	0.614808	0.326893	0.0658067	0.51671	0.00322904	0.198783	0.560874	0.512612	0.512612	N/A
ORTHOMCL463	0.518363	0.518363	0.534044	0.535936	0.549642	0.575269	0.563814	0.0641298	0.521167	0.630909	0.532146	0.614808	0.326893	0.615759	0.51671	0.696081	7.74082e-05	0.560874	0.512612	0.512612	N/A
ORTHOMCL464	0.518363	0.00926429	0.517477	0.518477	0.549642	0.575269	0.533579	0.5221	0.510757	0.0378839	0.516478	0.563277	0.000209485	0.56386	0.508462	1.56069e-05	0.574148	0.531952	0.506367	0.506367	N/A
ORTHOMCL473	0.535721	0.535721	0.517477	0.518477	0.0254034	0.575269	0.533579	0.5221	0.510757	0.573306	0.516478	0.563277	0.041194	0.658172	0.000113012	0.00868341	0.678098	0.587085	0.518739	0.518739	N/A
