#FamilyID	Bimp<0>	Bter<1>	Amel<2>	Aflo<3>	<4>	Mqua<5>	<6>	<7>	<8>	Emex<9>	<10>	Hlab<11>	Lalb<12>	Dnov<13>	<14>	Ccal<15>	Mrot<16>	<17>	<18>	<19>	<20>	
ORTHOMCL44	0.614239	0.614239	3.39013e-06	0.0135243	0.149869	0.000689247	0.695259	0.615058	0.560925	0.769366	0.589422	0.20704	0.370283	0.648552	0.554064	0.0984209	0.0207863	0.172118	0.0175222	0.0504997	N/A
ORTHOMCL48	0.122773	0.581193	0.149793	1.12339e-09	0.684368	0.0160117	0.667769	0.595654	0.0198902	0.310364	0.556895	0.299707	0.464791	0.697181	0.533566	0.776191	0.336509	0.613753	0.525503	0.525503	N/A
ORTHOMCL49	0.0947825	0.562928	0.553663	0.556541	0.650333	0.029253	0.205618	0.574613	0.0748777	0.000870268	0.573651	0.00683732	0.827997	0.364849	0.543994	0.00149253	0.00391614	0.642616	0.533566	0.533566	N/A
ORTHOMCL50	0.0675435	0.614239	0.527996	0.529569	0.149869	0.000689247	5.84639e-05	0.615058	0.560925	0.216065	0.589422	0.20704	0.370283	0.223479	0.554064	0.834839	0.11089	0.000562065	0.54142	0.54142	N/A
ORTHOMCL51	0.581193	0.581193	0.00262824	0.00888517	0.684368	0.0494938	0.667769	0.595654	0.54969	0.740238	0.573651	0.36262	0.169387	0.171172	0.543994	0.0273484	0.0360421	0.642616	0.533566	0.533566	N/A
ORTHOMCL53	0.581193	0.0452614	0.527996	0.529569	0.684368	0.00649671	0.000514726	0.595654	0.0920137	0.013496	0.589422	0.762588	0.00285469	0.763911	0.554064	0.834839	0.785284	0.667978	0.54142	0.54142	N/A
ORTHOMCL54	0.00109147	0.643185	0.598848	0.00888517	7.71036e-06	0.029253	0.0811427	0.574613	0.0132639	0.230662	0.539086	0.221767	0.656541	0.584716	0.522768	0.00525836	0.667897	0.121319	0.517225	0.517225	N/A
ORTHOMCL55	0.614239	0.614239	0.116437	0.58117	0.00121658	0.743634	0.635566	0.574613	0.538001	0.310364	0.556895	0.129646	0.244414	0.697181	0.533566	0.0968482	0.336509	0.613753	0.525503	0.525503	N/A
ORTHOMCL56	0.0675435	0.614239	6.28705e-05	0.603682	0.0336383	0.00649671	0.667769	0.595654	0.54969	0.000870268	0.573651	0.00683732	0.370283	0.223479	0.0174728	0.0451569	0.718954	0.172118	0.525503	0.525503	N/A
ORTHOMCL58	0.643185	0.0893893	0.598848	0.603682	0.000204484	0.0494938	0.667769	0.595654	0.54969	0.0077606	0.0305007	0.69588	0.5	0.5	0.0116511	0.337992	0.667897	0.00127834	0.517225	0.517225	N/A
