Family.ID	Desc	Aflo	Amel	Bimp	Bter	Ccal	Dnov	Emex	Hlab	Lalb	Mqua	Mrot
ORTHOMCL289	null	3	1	1	1	2	2	4	6	1	1	2
ORTHOMCL305	null	2	2	2	2	4	2	2	2	2	2	2
ORTHOMCL309	null	2	2	2	3	2	2	2	2	3	2	2
ORTHOMCL311	null	2	2	2	2	4	2	2	2	2	2	2
ORTHOMCL314	null	1	1	2	2	4	3	1	1	5	2	2
ORTHOMCL318	null	1	1	4	7	4	1	2	1	1	1	1
ORTHOMCL319	null	1	1	3	4	5	1	5	1	1	1	1
ORTHOMCL328	null	1	1	5	3	5	1	3	1	1	1	2
ORTHOMCL331	null	1	1	4	4	4	1	1	1	1	1	5
ORTHOMCL338	null	1	1	3	3	2	1	3	5	1	1	2
ORTHOMCL351	null	2	2	3	3	2	2	1	2	2	2	2
ORTHOMCL358	null	2	1	4	4	1	1	2	1	1	1	5
ORTHOMCL365	null	3	1	2	2	5	1	3	1	1	1	3
ORTHOMCL368	null	2	1	1	3	2	2	2	3	3	3	1
ORTHOMCL375	null	2	2	3	3	2	2	2	2	1	2	2
ORTHOMCL382	null	3	1	3	4	1	1	1	1	1	1	6
ORTHOMCL386	null	2	2	1	2	3	2	2	2	2	2	3
ORTHOMCL387	null	1	1	5	5	1	2	1	3	1	1	2
ORTHOMCL391	null	2	2	2	2	1	2	5	2	1	2	2
ORTHOMCL406	null	1	2	2	3	2	1	4	4	2	1	1
ORTHOMCL427	null	3	1	5	4	2	1	1	1	1	1	2
ORTHOMCL435	null	2	1	4	3	1	1	2	3	1	1	3
ORTHOMCL438	null	3	1	2	1	2	4	1	2	1	1	4
ORTHOMCL439	null	2	2	2	2	2	2	2	2	2	2	2
ORTHOMCL445	null	1	1	2	4	5	3	1	2	1	1	1
ORTHOMCL453	null	2	2	2	2	2	2	3	2	2	2	1
ORTHOMCL463	null	2	2	1	1	2	2	2	2	1	1	6
ORTHOMCL464	null	1	1	1	2	6	1	2	1	5	1	1
ORTHOMCL469	null	2	1	2	2	3	2	2	2	2	2	2
ORTHOMCL473	null	1	1	2	2	6	3	1	1	1	1	3
ORTHOMCL474	null	2	2	1	2	2	2	2	2	2	2	3
ORTHOMCL475	null	2	1	4	4	4	1	2	1	1	1	1
ORTHOMCL488	null	2	2	2	2	2	2	2	2	2	2	2
ORTHOMCL493	null	1	1	3	5	1	2	1	2	1	1	4
ORTHOMCL497	null	1	1	4	4	1	1	1	3	4	1	1
ORTHOMCL501	null	2	2	2	2	3	2	2	2	1	2	2
ORTHOMCL516	null	2	1	2	2	2	2	2	2	2	2	2
ORTHOMCL520	null	1	1	1	1	7	1	1	5	1	1	1
ORTHOMCL535	null	2	2	2	2	1	2	2	2	2	2	2
ORTHOMCL566	null	1	1	1	1	5	1	2	6	0	1	2
ORTHOMCL570	null	1	1	3	2	3	2	2	2	2	2	1
ORTHOMCL572	null	1	1	5	1	4	1	1	1	1	1	4
ORTHOMCL578	null	1	1	1	2	5	1	2	1	1	1	5
ORTHOMCL580	null	1	1	1	1	3	1	6	2	1	1	3
ORTHOMCL582	null	1	1	4	5	1	1	1	2	1	1	3
