Sociality	Canonical+	Canonical-	Non-Canonical+	Non-Canonical-	Background+	Background-	totUp	totDown
Eusocial	5.0	4.150803135137424	16.316530472703647	9.077215064838628	106.04273902535714	50.98202297542406	127.34271344158905	63.88661831714056
Social	3.668349782048706	0.8731240914167616	16.2393364822186	3.869794392726222	98.45497811715455	22.930113899777954	117.81660785483406	27.115038422284695
Solitary	5.833822258421758	0.9636241116594314	16.254395010053653	4.739650378908313	109.17833339148778	33.267013638566524	130.95800853708795	38.78417271995663
