Sociality	Canonical+	Canonical-	Non-Canonical+	Non-Canonical-	Background+	Background-	totUp	totDown
Eusocial	5.0	-8.75	24.25	-27.25	137.75	-158.0	167.0	-194.0
Social	10.88888888888889	-1.8888888888888888	51.77777777777778	-13.444444444444445	311.77777777777777	-82.11111111111111	374.44444444444446	-97.44444444444444
Solitary	8.375	-3.0	25.75	-14.5	149.875	-89.875	184.0	-107.375
