Sociality	Canonical+	Canonical-	Non-Canonical+	Non-Canonical-	Background+	Background-	totUp	totDown
Eusocial	10.0	8.301606270274847	32.633060945407294	18.154430129677255	212.08547805071427	101.96404595084812	254.6854268831781	127.77323663428112
Social	11.005049346146118	2.619372274250285	48.718009446655806	11.609383178178666	295.36493435146366	68.79034169933387	353.4498235645022	81.34511526685408
Solitary	16.50054111666818	2.7255405754769875	45.97437174277488	13.40575569351783	308.80295959906675	94.09332373462301	370.4051835490427	109.69820613196656
