#Taxon_ID	Increase	Decrease
<17>	23	270
Dnov<13>	302	358
Mqua<5>	238	588
<19>	0	21
Mrot<16>	1116	376
<18>	1	9
<10>	21	33
Emex<9>	587	373
<8>	6	23
<4>	611	92
Bter<1>	651	140
Bimp<0>	552	155
Lalb<12>	291	566
Ccal<15>	1157	428
<14>	10	34
Aflo<3>	718	191
Hlab<11>	285	510
<6>	27	143
<7>	29	58
Amel<2>	37	234
