#FamilyID	Bimp<0>	Bter<1>	Amel<2>	Aflo<3>	<4>	Mqua<5>	<6>	<7>	<8>	Emex<9>	<10>	Hlab<11>	Lalb<12>	Dnov<13>	<14>	Ccal<15>	Mrot<16>	<17>	<18>	<19>	<20>	
ORTHOMCL58	0.622792	0.0739914	0.572568	0.576318	0.000101795	0.0265281	0.628286	0.58072	0.541347	0.00477037	0.0251276	0.660364	0.5	0.5	0.00874587	0.297711	0.635261	0.000693848	0.512977	0.512977	N/A
ORTHOMCL61	0.0791142	3.74264e-05	0.538475	0.540597	0.629213	0.300693	0.153549	0.562548	0.531513	0.000202271	0.547442	0.244003	0.717354	0.618512	0.525451	0.0727219	0.000226537	0.134778	0.519275	0.519275	N/A
ORTHOMCL62	0.536025	0.536025	0.538475	0.540597	0.592724	0.647963	0.571648	0.543106	0.521352	0.631832	0.532422	0.617545	2.49052e-06	0.245844	0.038234	3.66563e-05	0.681686	0.589285	0.519275	0.519275	N/A
ORTHOMCL64	0.00787811	0.596995	0.0843535	0.559024	0.000714156	0.696503	0.601604	0.562548	0.531513	0.0298714	0.547442	0.244003	0.770403	0.245844	0.525451	0.387447	0.681686	0.589285	0.519275	0.519275	N/A
ORTHOMCL65	0.622792	0.622792	0.538475	0.540597	3.14917e-06	0.300693	0.153549	0.562548	0.531513	0.67762	0.547442	0.660364	0.717354	0.618512	0.525451	0.184758	0.681686	0.134778	0.519275	0.519275	N/A
ORTHOMCL67	0.518524	0.518524	0.519823	0.520952	0.550055	0.584328	0.537957	0.522293	0.510852	0.573892	0.516623	0.564958	0.634426	0.565554	0.508708	0.6189	7.29454e-32	0.532847	0.506553	0.506553	N/A
ORTHOMCL68	0.568205	2.07681e-06	0.556033	0.559024	0.0765963	0.0149935	0.601604	0.562548	0.531513	0.67762	0.547442	0.099828	0.0418368	0.10076	0.525451	0.184758	0.681686	0.589285	0.519275	0.519275	N/A
ORTHOMCL70	1.29344e-07	0.582998	0.538475	0.540597	0.000250027	0.647963	0.571648	0.543106	0.521352	0.198176	0.532422	0.617545	0.717354	0.618512	0.51719	0.69724	8.11334e-06	0.562494	0.512977	0.512977	N/A
ORTHOMCL71	0.0373247	0.568205	0.0577206	0.540597	0.66052	0.00240517	0.00496978	0.58072	0.541347	0.149541	0.561725	0.131564	0.328744	0.178065	0.533498	0.238081	0.00517983	0.00367048	0.525451	0.525451	N/A
ORTHOMCL74	0.0649257	0.610244	0.000658946	0.559024	4.4104e-05	0.300693	0.601604	0.562548	0.531513	0.270944	0.547442	0.244003	0.421255	0.10076	0.525451	0.750211	0.277326	0.589285	0.519275	0.519275	N/A
ORTHOMCL76	0.00063404	0.622792	0.519823	0.520952	5.86565e-08	0.222586	0.107528	0.543106	0.521352	0.198176	0.532422	0.176606	0.717354	0.618512	0.51719	0.125626	0.000874113	0.562494	0.512977	0.512977	N/A
ORTHOMCL77	0.596995	0.596995	0.519823	0.520952	0.000714156	0.0149935	0.00262144	0.562548	0.531513	0.0298714	0.547442	0.00844022	0.328744	0.178065	0.525451	0.0727219	2.48325e-05	0.134778	0.519275	0.519275	N/A
ORTHOMCL78	0.582998	0.0465827	0.519823	0.520952	0.000250027	0.222586	0.107528	0.543106	0.521352	0.198176	0.532422	0.617545	0.634426	0.565554	0.51719	2.35396e-07	8.11334e-06	0.0937769	0.512977	0.512977	N/A
ORTHOMCL79	0.610244	0.000433095	0.519823	0.0313162	9.81129e-07	0.222586	0.107528	0.543106	0.521352	6.25263e-07	0.532422	0.617545	0.634426	0.565554	0.51719	0.00329976	0.112549	0.532847	0.512977	0.0194655	N/A
ORTHOMCL80	0.0373247	0.568205	0.000658946	0.559024	0.0765963	0.0149935	0.601604	0.562548	0.531513	0.0112058	0.547442	0.660364	0.209342	0.661548	0.525451	0.00886743	0.117247	0.589285	0.519275	0.519275	N/A
ORTHOMCL82	0.568205	0.00359288	0.000658946	0.559024	0.0765963	0.0149935	0.601604	0.562548	0.531513	0.67762	0.547442	0.00844022	0.328744	0.178065	0.525451	3.66563e-05	0.0315732	0.134778	0.519275	0.519275	N/A
ORTHOMCL84	0.0557865	0.596995	0.0843535	0.559024	0.000714156	0.696503	0.601604	0.562548	0.531513	0.270944	0.547442	0.660364	0.770403	0.245844	0.525451	0.031971	0.681686	0.589285	0.519275	0.519275	N/A
ORTHOMCL85	0.0373247	0.568205	0.030005	0.559024	0.0765963	0.696503	0.601604	0.562548	0.531513	0.00223819	0.0167592	0.176606	0.717354	0.618512	0.51719	0.297711	0.0146662	0.562494	0.512977	0.512977	N/A
ORTHOMCL86	3.74264e-05	0.552566	0.538475	0.0211675	0.0512594	0.222586	0.571648	0.543106	0.521352	0.0764903	0.532422	0.617545	0.717354	0.618512	0.51719	1.65475e-06	0.635261	0.562494	0.512977	0.512977	N/A
ORTHOMCL87	0.0373247	0.568205	0.538475	0.540597	0.0765963	0.300693	0.153549	0.562548	0.531513	0.67762	0.547442	0.660364	0.717354	0.618512	0.525451	0.0727219	0.0315732	0.134778	0.519275	0.519275	N/A
ORTHOMCL88	0.568205	0.00359288	0.519823	0.520952	0.0765963	0.0149935	0.00262144	0.562548	0.531513	0.113818	0.547442	0.00844022	0.328744	0.178065	0.525451	3.66563e-05	0.00243687	0.134778	0.519275	0.519275	N/A
ORTHOMCL89	0.552566	3.74264e-05	0.0843535	0.559024	0.629213	0.300693	0.601604	0.562548	0.531513	0.67762	0.547442	0.099828	0.421255	0.10076	0.525451	0.750211	0.681686	0.589285	0.519275	0.519275	N/A
ORTHOMCL90	0.552566	0.552566	0.000658946	5.40205e-05	0.629213	0.130206	0.601604	0.562548	0.531513	0.0112058	0.547442	0.00844022	0.421255	0.0237699	0.525451	0.0727219	0.681686	0.589285	0.519275	0.519275	N/A
ORTHOMCL92	0.582998	0.582998	0.0843535	0.00256905	0.0141399	0.300693	0.601604	0.562548	0.531513	0.113818	0.0167592	0.617545	0.717354	0.618512	0.51719	0.125626	0.635261	0.562494	0.512977	0.512977	N/A
ORTHOMCL96	0.552566	0.0280237	0.000658946	0.00256905	0.629213	0.0149935	0.601604	0.562548	0.531513	0.113818	0.547442	0.0233578	0.328744	0.618512	0.525451	0.750211	0.117247	0.134778	0.519275	0.519275	N/A
ORTHOMCL97	2.7765e-17	0.0540444	0.519823	0.520952	0.0256196	0.584328	0.537957	0.522293	0.510852	0.573892	0.516623	0.564958	0.634426	0.565554	0.508708	0.6189	3.82982e-13	0.532847	0.506553	0.506553	N/A
ORTHOMCL101	0.536025	0.536025	0.538475	0.0211675	0.592724	0.647963	0.571648	0.543106	0.521352	0.631832	0.000891239	0.0388871	0.135766	0.69674	0.533498	0.00740579	0.00517983	0.613528	0.525451	0.525451	N/A
ORTHOMCL105	0.552566	0.0791142	0.0577206	0.540597	0.629213	0.300693	0.153549	0.562548	0.0622527	0.149541	0.561725	0.0153735	0.80572	0.69674	0.533498	0.78706	0.718434	0.613528	0.525451	0.525451	N/A
ORTHOMCL106	0.552566	0.552566	0.519823	0.520952	0.0512594	0.222586	0.107528	0.543106	0.521352	0.631832	0.532422	0.617545	0.717354	0.618512	0.038234	0.00886743	2.63237e-07	0.134778	0.519275	0.519275	N/A
ORTHOMCL107	0.536025	0.536025	0.0843535	0.00256905	0.195837	0.0383652	0.601604	0.562548	0.531513	0.113818	0.547442	0.244003	0.770403	0.245844	0.525451	0.387447	0.681686	0.589285	0.519275	0.519275	N/A
ORTHOMCL108	0.0465827	0.582998	0.000658946	0.031729	0.0141399	0.0149935	0.601604	0.562548	0.531513	0.000202271	0.0167592	0.176606	0.634426	0.565554	0.51719	0.0360655	0.576078	0.532847	0.512977	0.0194655	N/A
ORTHOMCL110	0.0557865	0.596995	0.0577206	0.540597	1.59713e-05	0.647963	0.571648	0.543106	0.521352	0.0138306	0.532422	0.176606	0.0185464	0.618512	0.51719	0.00329976	0.635261	0.562494	0.512977	0.512977	N/A
ORTHOMCL111	0.536025	0.536025	0.000658946	0.559024	0.592724	0.222586	0.601604	0.094208	0.0622527	0.00477037	0.561725	0.000277153	0.634426	0.565554	0.533498	0.238081	0.203358	0.0937769	0.00986028	0.0289453	N/A
ORTHOMCL113	0.0280237	0.000571679	0.538475	0.540597	0.629213	0.300693	0.153549	0.562548	0.531513	0.0298714	0.547442	0.660364	0.421255	0.661548	0.525451	0.0727219	0.681686	0.589285	0.519275	0.519275	N/A
ORTHOMCL115	0.596995	0.596995	0.519823	0.520952	0.000714156	0.0149935	0.00262144	0.562548	0.531513	0.67762	0.547442	0.660364	0.0418368	0.10076	0.525451	0.031971	0.0315732	0.589285	0.519275	0.519275	N/A
ORTHOMCL122	0.582998	0.00555933	0.519823	0.520952	0.0141399	0.0149935	0.00262144	0.562548	0.531513	0.113818	0.547442	0.000122421	0.328744	0.618512	0.00874587	0.297711	0.203358	0.562494	0.512977	0.512977	N/A
ORTHOMCL124	1.27074e-05	0.0540444	0.0577206	1.23231e-08	0.592724	0.222586	0.571648	0.543106	0.521352	0.631832	0.532422	3.65173e-06	0.634426	0.565554	0.51719	0.69724	0.0788308	0.0937769	0.512977	0.512977	N/A
